bloque,nombre,regimen,estatus,plan_o_programa,periodo_de_asignacion,ano,actividad,unidad,planeado,ejercido
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2015,GASTOS OPERACION,MMUSD,1.122293,7.936047
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2015,INVERSION,MMUSD,5.143843,0.374237
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2016,GASTOS OPERACION,MMUSD,2.244586,6.928255
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2016,INVERSION,MMUSD,2.244586,0.113169
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2017,GASTOS OPERACION,MMUSD,1.589915,38.49583
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2017,INVERSION,MMUSD,3.928025,0.182586
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2018,GASTOS OPERACION,MMUSD,1.215817,0.463623
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2018,INVERSION,MMUSD,0.748195,0.655001
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2019,GASTOS OPERACION,MMUSD,0.935244,0.500741
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2019,INVERSION,MMUSD,1.122293,1.365833
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2020,GASTOS OPERACION,MMUSD,0.748195,0.33299
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2020,INVERSION,MMUSD,0.467622,1.069134
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2021,GASTOS OPERACION,MMUSD,0.72299,0.054929
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2021,INVERSION,MMUSD,0.467622,1.406268
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2022,GASTOS OPERACION,MMUSD,0.374098,0.324559
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2022,INVERSION,MMUSD,0.467622,1.348854
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2023,GASTOS OPERACION,MMUSD,0.374098,0.535022
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2023,INVERSION,MMUSD,0.280573,2.614981
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2024,GASTOS OPERACION,MMUSD,0.187049,1.439161
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2024,INVERSION,MMUSD,0.280573,4.925474
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2025,GASTOS OPERACION,MMUSD,0.093524,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2025,INVERSION,MMUSD,0.093524,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2026,GASTOS OPERACION,MMUSD,0.093524,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2026,INVERSION,MMUSD,0.093524,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2027,GASTOS OPERACION,MMUSD,0.093524,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2027,INVERSION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2028,GASTOS OPERACION,MMUSD,0.093524,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2028,INVERSION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2029,GASTOS OPERACION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2029,INVERSION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2030,GASTOS OPERACION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2030,INVERSION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2031,GASTOS OPERACION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2031,INVERSION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2032,GASTOS OPERACION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2032,INVERSION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2033,GASTOS OPERACION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2033,INVERSION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2034,GASTOS OPERACION,MMUSD,,
A-0002,A-0002-3M - Campo Acuatempa,Asignacion,Vigente,Extraccion,nan,2034,INVERSION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2015,GASTOS OPERACION,MMUSD,4.395647,0.061698
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2015,INVERSION,MMUSD,4.769745,3.290775
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2016,GASTOS OPERACION,MMUSD,3.366879,0.396815
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2016,INVERSION,MMUSD,3.366879,8.165504
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2017,GASTOS OPERACION,MMUSD,2.899257,1.107042
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2017,INVERSION,MMUSD,2.151061,11.343767
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2018,GASTOS OPERACION,MMUSD,1.870488,3.81999
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2018,INVERSION,MMUSD,1.776964,2.680254
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2019,GASTOS OPERACION,MMUSD,5.255649,2.906285
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2019,INVERSION,MMUSD,7.178447,2.066766
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2020,GASTOS OPERACION,MMUSD,4.10197,1.238983
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2020,INVERSION,MMUSD,2.435545,4.215167
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2021,GASTOS OPERACION,MMUSD,2.578979,2.27237
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2021,INVERSION,MMUSD,1.794612,9.388619
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2022,GASTOS OPERACION,MMUSD,2.179171,2.065018
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2022,INVERSION,MMUSD,1.281866,7.362212
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2023,GASTOS OPERACION,MMUSD,1.666425,2.327075
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2023,INVERSION,MMUSD,0.897306,15.077369
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2024,GASTOS OPERACION,MMUSD,1.025492,1.529693
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2024,INVERSION,MMUSD,1.153679,0.229464
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2025,GASTOS OPERACION,MMUSD,0.769119,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2025,INVERSION,MMUSD,2.563731,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2026,GASTOS OPERACION,MMUSD,0.38456,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2026,INVERSION,MMUSD,2.691918,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2027,GASTOS OPERACION,MMUSD,0.128187,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2027,INVERSION,MMUSD,1.410052,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2028,GASTOS OPERACION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2028,INVERSION,MMUSD,0.38456,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2029,GASTOS OPERACION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2029,INVERSION,MMUSD,0.128187,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2030,GASTOS OPERACION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2030,INVERSION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2031,GASTOS OPERACION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2031,INVERSION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2032,GASTOS OPERACION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2032,INVERSION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2033,GASTOS OPERACION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2033,INVERSION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2034,GASTOS OPERACION,MMUSD,,
A-0003,A-0003-3M - Campo Agave,Asignacion,Vigente,Extraccion,nan,2034,INVERSION,MMUSD,,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2015,GASTOS OPERACION,MMUSD,50.970804,21.601173
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2015,INVERSION,MMUSD,231.753493,150.210153
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2016,GASTOS OPERACION,MMUSD,409.262826,147.630249
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2016,INVERSION,MMUSD,409.262826,87.326188
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2017,GASTOS OPERACION,MMUSD,58.733331,31.07251
